datetime,vol,name,temperature,special,curry
2019-05-12,621,白身魚唐揚げ野菜餡かけ,18.6,0,0
2019-05-13,659,メンチカツ,26.0,0,0
2019-05-14,547,タンドリーチキン,19.3,0,0
2019-05-15,1346,ポークカレー,23.8,1,1
2019-05-18,647,豚肉と茄子のピリ辛炒め,22.8,0,0
2019-05-19,626,鶏の味噌漬け焼き,23.9,0,0
2019-05-20,952,チーズハンバーグ,17.4,0,0
2019-05-21,533,サーモンのムニエル2色ソース,19.0,0,0
2019-05-22,657,牛肉コロッケ,19.8,0,0
2019-05-25,807,鶏のカッシュナッツ炒め,23.9,0,0
2019-05-26,766,牛肉すき焼き風,23.7,0,0
2019-05-27,707,鶏の唐揚げおろしソース,25.7,0,0
2019-05-28,650,いか天ぷら,26.0,0,0
2019-05-29,1232,チキンカレー,26.9,1,1
2019-06-01,764,ハンバーグケッチャップソース,30.6,0,0
2019-06-02,510,ゴーヤチャンプルー,27.0,0,0
2019-06-03,423,たっぷりベーコンフライ,27.5,0,0
2019-06-04,683,鶏の味噌漬け焼き,21.5,0,0
2019-06-05,889,手作りロースカツ,19.9,0,0
2019-06-08,675,牛肉ニンニクの芽炒め,25.0,0,0
2019-06-09,508,カレイ唐揚げ野菜餡かけ,25.5,0,0
2019-06-10,404,チャプチェ,22.3,0,0
2019-06-11,663,タンドリーチキン,21.3,0,0
2019-06-12,1164,キーマカレー,29.5,1,1
2019-06-15,703,牛すき焼き風,28.1,0,0
2019-06-16,708,ポークソテー韓国ソース,27.6,0,0
2019-06-17,599,ビーフストロガノフ,21.9,0,0
2019-06-18,591,アジ唐揚げ南蛮ソース,27.5,0,0
2019-06-19,627,炊き込みご飯,26.5,0,0
2019-06-22,760,マーボ茄子,26.9,0,0
2019-06-23,589,鶏のトマトシチュー,23.7,0,0
2019-06-24,569,豚の冷しゃぶ,25.2,0,0
2019-06-25,526,キスと野菜の天ぷら,25.2,0,0
2019-06-26,694,牛丼,25.4,1,0
2019-06-29,716,鶏の塩から揚げ,25.5,0,0
2019-06-30,557,カレイ唐揚げ夏野菜あん,28.3,0,0
2019-07-01,598,タンドリーチキン,28.8,0,0
2019-07-02,579,白身魚ムニエル,27.0,0,0
2019-07-03,574,手作りトンカツ,22.1,0,0
2019-07-06,855,和風ハンバーグ,24.0,0,0
2019-07-07,657,かじきの甘辛煮,29.7,0,0
2019-07-08,540,チキンのコーンクリーム焼き,24.6,0,0
2019-07-09,560,プルコギ,28.8,0,0
2019-07-10,1309,ポークカレー,33.9,1,1
2019-07-13,579,鶏のから揚げねぎ塩炒めソース,30.9,0,0
2019-07-14,436,豚冷シャブ野菜添え,30.3,0,0
2019-07-15,494,白身魚フライ,30.9,0,0
